method,scenario,7,42,123,mean,std
bert_textonly,cil_cord,19.2,19.393939393939394,19.19191919191919,19.26195286195286,0.1143750774171708
bert_textonly,cil_wildreceipt,17.796357121528814,17.766960754487375,18.200349446709378,17.921222440908522,0.24217751882518318
bert_textonly,dil,39.67955014696886,39.413984640355324,39.16107168633037,39.41820215788485,0.2592649593120881
bert_textonly,dil_xlingual,46.49976480776148,43.846858252860955,43.764395658980995,44.70367290653448,1.5560075861278044
bert_textonly,mixed,23.64027981705902,23.104952259848435,23.37591147293844,23.373714516615298,0.267670540665344
cl_lora,cil_cord,12.914798206278027,13.846153846153845,0.0,8.920317350810624,7.739244282316066
cl_lora,dil,41.339189697610045,40.82101215538356,41.269402171396145,41.143201341463254,0.28119740116825886
cl_lora,mixed,31.903730283593912,30.674736701440196,31.53649664294098,31.371654542658362,0.6308613118292672
coda_prompt,cil_cord,0.0,0.0,0.0,0.0,0.0
coda_prompt,cil_wildreceipt,7.961666052340583,7.299843014128729,7.114702404414663,7.458737156961324,0.44527785336447434
coda_prompt,dil,31.11497002905364,33.401685122236046,33.02172998637164,32.51279504588711,1.2253683362897656
coda_prompt,dil_xlingual,16.3263363949539,14.426385135748216,17.81611725458155,16.189612928427888,1.6989970391636195
coda_prompt,mixed,8.154761904761905,9.612233752048063,6.5694972539079,8.112164303572623,1.5218154507031645
der_pp,cil_cord,18.128984284009658,17.870680044593087,18.46153846153846,18.153734263380404,0.2962057364872215
der_pp,cil_wildreceipt,20.431513030690002,19.874508847815626,20.43732282291131,20.247781567138983,0.3232767091281116
der_pp,dil,87.06138645987438,88.22694975581032,88.78306810378164,88.02380143982212,0.8786346507271577
der_pp,dil_xlingual,80.1395528345963,80.16483680618224,80.51855098823786,80.27431354300546,0.21189329164705797
der_pp,mixed,63.512211050982664,60.926490579425014,58.035176429387796,60.82462601993183,2.7399378374148866
doccl,cil_cord,15.824578154438864,15.204948220734643,16.66123594741841,15.896920774197307,0.7308341649769671
doccl,cil_wildreceipt,18.81618254294358,18.916594272777242,,18.866388407860413,0.07100181507605473
doccl,dil,76.62161609213736,74.39601760759483,73.71857536383362,74.91206968785526,1.518763865682687
doccl,dil_xlingual,75.16067271874893,75.68081006373691,74.25517931822377,75.03222070023655,0.7214434811078572
doccl,mixed,55.74969302215132,60.30448271788353,56.856527711022885,57.63690115035258,2.3755555816893703
dualprompt,cil_cord,2.0316027088036117,0.0,3.3115468409586057,1.7810498499207392,1.6699305887630527
dualprompt,cil_wildreceipt,10.935374149659866,10.681431005110731,10.634328358208954,10.75037783765985,0.16193329313792681
dualprompt,dil,30.256133502142387,30.215453112635387,29.217055380789983,29.896213998522587,0.5885202159254642
dualprompt,dil_xlingual,16.24416024983933,23.750576571275634,15.80263721113134,18.599124677415436,4.4667469269586295
dualprompt,mixed,11.63583252190847,11.844248941023134,11.659338869890897,11.713140110940834,0.11415025664898756
er,cil_cord,14.43041612306358,16.936123313306407,16.583350465568493,15.983296633979492,1.3563519386251235
er,cil_wildreceipt,19.998766732637417,19.92643302664282,19.755918316891197,19.893706025390475,0.12468813382130751
er,dil,88.72852933591298,86.21319417783377,88.61806632943285,87.85326328105987,1.4214149698338612
er,dil_xlingual,79.88108253850332,78.27738688739234,80.43565896712563,79.5313761310071,1.1208280515413618
er,mixed,54.375651715141316,64.32730211749605,62.257601622616086,60.320185151751154,5.251097349017234
er_cflat,cil_cord,16.64826047312413,14.16736277955811,16.959071043540536,15.924898098740925,1.5299832029476415
er_cflat,dil,88.36044769420478,88.58509409778111,88.309565585973,88.4183691259863,0.14661227574631336
er_cflat,mixed,62.89435952028074,62.30636277474766,61.45091545468173,62.21721258323671,0.7258398653374445
ewc,cil_cord,0.0,1.1111111111111112,0.2797202797202797,0.4636104636104636,0.577930510621317
ewc,cil_wildreceipt,7.107109045927481,8.53107436869666,2.0547945205479454,5.89765931172403,3.403325823743281
ewc,dil,42.372617835370875,40.177431865550766,41.163765803172474,41.23793850136471,1.0994710329934119
ewc,dil_xlingual,62.59532638893647,60.975165636984876,39.154759992628684,54.24175067285,13.090805783234085
ewc,mixed,32.85801558661897,16.8026756536952,16.465310730593718,22.042000656969293,9.368462413418666
joint,cil_cord,33.57471100623552,33.429243545756265,32.94339490320546,33.31578315173241,0.330597869390141
joint,cil_wildreceipt,34.07255216057626,34.09604711101456,33.505277794444154,33.891292355344994,0.33450475944988345
joint,dil,89.02520724653523,89.68037947479684,87.48793554598232,88.7311740891048,1.1254084674020746
joint,dil_xlingual,81.38110234172036,80.25485807271312,73.88413813400247,78.50669951614532,4.042667663452774
joint,mixed,66.6639762403542,67.54645743695941,68.3068601078721,67.5057645950619,0.8221975316637183
l2p,cil_cord,2.092746730083234,0.0,1.2999999999999998,1.1309155766944112,1.0565696265376714
l2p,cil_wildreceipt,10.737790093522687,10.13536966331135,10.25506638714186,10.376075381325299,0.3189200153470598
l2p,dil,30.066924155237164,30.88735967889447,30.330296452234887,30.42819342878884,0.4188871872396115
l2p,dil_xlingual,16.46881347714899,27.1145082085662,16.100505685774465,19.894609123829884,6.25532730979195
l2p,mixed,11.411862990810361,11.337981407702522,11.620185922974768,11.456676773829217,0.14634224773235066
lexslot,dil,87.24790819010157,87.15973691919798,86.33675055754863,86.91479855561606,0.5025416990713444
lwf,cil_cord,18.775510204081634,18.98989898989899,18.70646766169154,18.82395895189072,0.1477964489612693
lwf,cil_wildreceipt,20.750812887969257,20.865102639296186,20.84436598999706,20.8200938390875,0.06088833875977468
lwf,dil,44.63052595310533,42.540942952112005,43.81522956762662,43.66223282428132,1.0531596660125977
lwf,dil_xlingual,73.91309846545354,75.34641048496339,73.45942417575961,74.23964437539219,0.9849637080897256
lwf,mixed,34.13326131901448,35.100386990749094,36.47132288028143,35.23499039668167,1.1748282954266107
naive,cil_cord,19.076923076923077,18.78787878787879,19.076923076923077,18.980574980574982,0.1668797980874435
naive,cil_wildreceipt,20.793234179060953,20.789865871833086,20.720047804003585,20.767715951632542,0.041316166293320626
